DataMonth,DMISID,QuestionNum,Value1,Value2,Flag,,
9/1/2022,0001,B.1.a,3.3.9 CF 9.0,,,,
9/1/2022,0001,B.1.b,4.630 CP 454,,,,
9/1/2022,0001,B.1.c,213.03.0029,,,,
9/1/2022,0001,B.4.e,300,,,,
9/1/2022,0001,B.5.a,2543,2617,,,
9/1/2022,0001,B.5.b,,,,,
9/1/2022,0001,B.5.d,2196,2425,,,
9/1/2022,0001,B.8.b,143,,,,
9/1/2022,0001,C.1.e,625,777,,,
9/1/2022,0001,C.1.f,459,580,,,
9/1/2022,0001,C.11.a,18,,,,
9/1/2022,0001,C.11.a.1,9,,,,
9/1/2022,0001,C.11.a.10,1,,,,
9/1/2022,0001,C.11.a.11,,,,,
9/1/2022,0001,C.11.a.12,1,,,,
9/1/2022,0001,C.11.a.2,,,,,
9/1/2022,0001,C.11.a.3,,,,,
9/1/2022,0001,C.11.a.4,1,,,,
9/1/2022,0001,C.11.a.5,1,,,,
9/1/2022,0001,C.11.a.6,1,,,,
9/1/2022,0001,C.11.a.7,2,,,,
9/1/2022,0001,C.11.a.8,1,,,,
9/1/2022,0001,C.11.a.9,1,,,,
9/1/2022,0001,C.11.b,466,,,,
9/1/2022,0001,C.11.b.1,308,,,,
9/1/2022,0001,C.11.b.2,158,,,,
9/1/2022,0001,C.12.a,,,,,
9/1/2022,0001,C.12.a.1,,,,,
9/1/2022,0001,C.12.a.10,,,,,
9/1/2022,0001,C.12.a.11,,,,,
9/1/2022,0001,C.12.a.12,,,,,
9/1/2022,0001,C.12.a.2,,,,,
9/1/2022,0001,C.12.a.3,,,,,
9/1/2022,0001,C.12.a.4,,,,,
9/1/2022,0001,C.12.a.5,,,,,
9/1/2022,0001,C.12.a.6,,,,,
9/1/2022,0001,C.12.a.7,,,,,
9/1/2022,0001,C.12.a.8,,,,,
9/1/2022,0001,C.12.a.9,,,,,
9/1/2022,0001,C.12.b,,,,,
9/1/2022,0001,C.3.a,Y,,,,
9/1/2022,0001,C.3.b,Y,,,,
9/1/2022,0001,C.3.c,30,30,,,
9/1/2022,0001,C.3.d,30,30,,,
9/1/2022,0001,C.9.a,5029,5030,,,
9/1/2022,0001,C.9.b,,,,,
9/1/2022,0001,C.9.c,3588,3500,,,
9/1/2022,0001,C.9.d,,,,,
9/1/2022,0001,E.1.a.1,,,,,
9/1/2022,0001,E.1.a.2,,,,,
9/1/2022,0001,E.1.a.3,,,,,
9/1/2022,0001,E.1.a.4,,,,,
9/1/2022,0001,E.1.a.5,,,,,
9/1/2022,0001,E.1.a.6,,,,,
9/1/2022,0001,E.1.a.7,,,,,
9/1/2022,0001,E.1.a.8,1,,,,
9/1/2022,0001,E.1.b.1,,,,,
9/1/2022,0001,E.1.b.2,5,,,,
9/1/2022,0001,E.1.b.3,,,,,
9/1/2022,0001,E.1.b.4,2,,,,
9/1/2022,0001,E.1.b.5,,,,,
9/1/2022,0001,E.1.b.6,,,,,
9/1/2022,0001,E.1.b.7,,,,,
9/1/2022,0001,E.1.b.8,,,,,
9/1/2022,0003,B.1.a,3.3.9 CF 9.0,,,,
9/1/2022,0003,B.1.b,4.630 CP 454,,,,
9/1/2022,0003,B.1.c,213.03.0029,,,,
9/1/2022,0003,B.4.e,14,,,,
9/1/2022,0003,B.5.a,4846,4919,,,
9/1/2022,0003,B.5.b,,,,,
9/1/2022,0003,B.5.d,2746,2888,,,
9/1/2022,0003,B.8.b,183,,,,
9/1/2022,0003,C.1.e,968,995,,,
9/1/2022,0003,C.1.f,965,992,,,
9/1/2022,0003,C.11.a,32,,,,
9/1/2022,0003,C.11.a.1,,,,,
9/1/2022,0003,C.11.a.10,1,,,,
9/1/2022,0003,C.11.a.11,1,,,,
9/1/2022,0003,C.11.a.12,8,,,,
9/1/2022,0003,C.11.a.2,,,,,
9/1/2022,0003,C.11.a.3,1,,,,
9/1/2022,0003,C.11.a.4,4,,,,
9/1/2022,0003,C.11.a.5,5,,,,
9/1/2022,0003,C.11.a.6,1,,,,
9/1/2022,0003,C.11.a.7,5,,,,
9/1/2022,0003,C.11.a.8,3,,,,
9/1/2022,0003,C.11.a.9,3,,,,
9/1/2022,0003,C.11.b,92,,,,
9/1/2022,0003,C.11.b.1,80,,,,
9/1/2022,0003,C.11.b.2,12,,,,
9/1/2022,0003,C.12.a,,,,,
9/1/2022,0003,C.12.a.1,,,,,
9/1/2022,0003,C.12.a.10,,,,,
9/1/2022,0003,C.12.a.11,,,,,
9/1/2022,0003,C.12.a.12,,,,,
9/1/2022,0003,C.12.a.2,,,,,
9/1/2022,0003,C.12.a.3,,,,,
9/1/2022,0003,C.12.a.4,,,,,
9/1/2022,0003,C.12.a.5,,,,,
9/1/2022,0003,C.12.a.6,,,,,
9/1/2022,0003,C.12.a.7,,,,,
9/1/2022,0003,C.12.a.8,,,,,
