Title,Number,Text,Subtext,Type Of Question,Item Type,Path
B.7 - National Provider Identifiers (NPIs),B.7,"
National Provider Identifiers (NPIs)
",,Statement,Item,teams/DHADQMCProgram/Lists/Question
A.1 - The MTF Commander signed last month's Commander’s Data Quality Statement acknowledging responsibility for the quality of data reported from the MTF.,A.1,The MTF Commander signed last month's Commander’s Data Quality Statement acknowledging responsibility for the quality of data reported from the MTF.,,Date,Item,teams/DHADQMCProgram/Lists/Question
A.2 - The MTF DQ Manager submitted last month’s Commander’s Data Quality Statement with the Commander’s signature.,A.2,The MTF DQ Manager submitted last month’s Commander’s Data Quality Statement with the Commander’s signature.,,Date,Item,teams/DHADQMCProgram/Lists/Question
"A.3 - The Data Quality Assurance Team or other designated structure met during the reporting month to complete the DQMC Review List. (Recommend attaching meeting minutes.)
Data Month: _________________",A.3,"The Data Quality Assurance Team or other designated structure met during the reporting month to complete the DQMC Review List. (Recommend attaching meeting minutes.)
Data Month: _________________",,Date and Data Month,Item,teams/DHADQMCProgram/Lists/Question
"A.4 - The DQ Manager briefed prior data month's DQMC Review List, and Financial and Workload Data Reconciliation and Validation results to the MTF Executive Committee.",A.4,"The DQ Manager briefed prior data month's DQMC Review List, and Financial and Workload Data Reconciliation and Validation results to the MTF Executive Committee.",,Date,Item,teams/DHADQMCProgram/Lists/Question
A.5 - Does your MTF have a Coding Compliance Plan?,A.5,Does your MTF have a Coding Compliance Plan?,,Yes or No,Item,teams/DHADQMCProgram/Lists/Question
"A.5.a - Reviewed and approved annually for update?    Date: ________________
Respond Yes if annual suspense of 1 October was met IAW with the DHA Coding Compliance Plan.",A.5.a,"Reviewed and approved annually for update?    Date: ________________
Respond Yes if annual suspense of 1 October was met IAW with the DHA Coding Compliance Plan.      ",,Date and Yes or No,Item,teams/DHADQMCProgram/Lists/Question
"A.5.b - Reviewed and approved quarterly for compliance?     Date: ________________
Respond Yes if quarterly review was accomplished (3 months since the previous review)",A.5.b,"Reviewed and approved quarterly for compliance?     Date: ________________
Respond Yes if quarterly review was accomplished (3 months since the previous review)",,Date and Yes or No,Item,teams/DHADQMCProgram/Lists/Question
"A.5.c - Does your coding compliance plan provide a process that ensures providers leaving the facility have completed all medical record documentation prior to their departure?
Respond Yes if the MTF’s current CCP provides a process.",A.5.c,"Does your coding compliance plan provide a process that ensures providers leaving the facility have completed all medical record documentation prior to their departure?
Respond Yes if the MTF’s current CCP provides a process.  ",,Yes or No,Item,teams/DHADQMCProgram/Lists/Question
A.6 - Does your MTF have a Uniform Business Office (UBO) Compliance Plan.,A.6,Does your MTF have a Uniform Business Office (UBO) Compliance Plan.,,Yes or No,Item,teams/DHADQMCProgram/Lists/Question
