PDMIS	TOTCNT
0005	3658
0006	6665
0008	809
0009	67
0010	5513
0014	588
0015	38
0018	19
0019	3
0024	11066
0028	198
0029	8401
0030	2846
0032	1261
0033	518
0034	108
0052	8841
0053	321
0057	62
0058	1362
0059	5
0075	7
0076	251
0077	100
0078	3
0079	2271
0083	13
0085	48
0093	13
0094	100
0106	2895
0109	4989
0112	22
0114	6
0117	2334
0118	223
0119	2
0125	51259
0126	5661
0127	136
0128	56
0129	27
0130	89
0131	1710
0203	28
0248	727
0252	236
0280	5087
0287	31
0364	105
0395	65
0416	118
0417	40
0418	208
0419	200
0420	270
0421	127
0422	55
0423	106
0424	46
0425	202
0426	181
0427	41
0428	379
0430	48
0431	160
0432	199
0433	40
0434	10
0435	237
5184	29
5185	15
5186	20
5187	17
5188	81
5189	67
5190	26
5191	27
5194	32
5195	228
5196	30
5197	27
5199	23
5273	129
7043	18
7044	33
7045	90
7046	78
7047	26
7048	52
7082	50
7083	79
7200	1733
7700	5
8299	33
8399	2106
