"Data
Month",Service,Installation Name,Parent,"B.1.a
AHLTA","B.1.b
CHCS","B.1.c
Essentris",2a_n,2a_d,2b_n,2b_d,B.4.e,B5e_n,B5e_d,"4A MEPRS
Trans.",EOM 4b,4c_n,4c_d,4d_n,4d_d,9a_n,9a_d,"EAS
9b_n",9b_d,"EAS
9c_n",9c_d,9d_n,"EAS
9d_d","11a
AFa_n","11a
AFa1_n","11a
AFa2_n","11a
AFa3_n","11a
AFa4_n","11a
AFa5_n","11a
AFa6_n","11a
AFa7_n","11a
AFa8_n","11a
AFa9_n","11a
AFa10_n","11a
AFa11_n","11a
AFa12_n","11b
AFb_n","11b
AFb1_n","11b
AFb2_n","12c
AFc_n","12c
AFc_d","12c
AFc1_n","12c
AFc1_d","12c
AFc2_n","12c
AFc2_d","12c
AFc3_n","12c
AFc3_d","12c
AFc4_n","12c
AFc4_d","12c
AFc5_n","12c
AFc5_d","12c
AFc6_n","12c
AFc6_d","12c
AFc7_n","12c
AFc7_d","12c
AFc8_n","12c
AFc8_d","12c
1AFc9_n","12c
AFc9_d","12c
AFc10_n","12c
AFc10_d","12c
AFc11_n","12c
AFc11_d","12c
AFc12_n","12c
AFc12_d","12d
AFd_n","12d
AFd_d","C.1.e
3c_n","C.1.e
3c_d","C.1.f
3d_n","C.1.f
3d_d"
,Army,REDSTONE ARSENAL,0001,,,,0,0,0,0,0,0,0,NO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,442,550,434,549
,Army,FT RUCKER,0003,,,,0,0,0,0,0,0,0,NO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,809,827,874,901
,Air Force,MAXWELL,0004,,,,0,0,0,0,0,0,0,NO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,819,821,1093,1093
,Army,FT WAINWRIGHT,0005,,,,0,0,0,0,0,0,0,NO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2615,2682,2640,2679
,Air Force,ELMENDORF,0006,,,,0,0,0,0,0,0,0,NO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3002,3553,2967,3540
,Army,FT HUACHUCA,0008,,,,0,0,0,0,0,0,0,NO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,895,943,862,945
,Air Force,LUKE,0009,,,,0,0,0,0,0,0,0,NO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1260,1368,1164,1370
,Air Force,DAV MONTHAN,0010,,,,0,0,0,0,0,0,0,NO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1117,1181,1160,1182
,Air Force,LITTLE ROCK,0013,,,,0,0,0,0,0,0,0,NO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,860,864,862,863
,Air Force,TRAVIS,0014,,,,0,0,0,0,0,0,0,NO,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5527,6103,5620,6117
