DataMonth|DMISID|QuestionNum|Value1|Value2
2021-08-01|0001|B.5.a|3695|3801
2021-08-01|0001|B.5.d|3629|4259
2021-08-01|0001|C.11.a|257|
2021-08-01|0001|C.11.a.1|5|
2021-08-01|0001|C.11.a.10|31|
2021-08-01|0001|C.11.a.11|32|
2021-08-01|0001|C.11.a.2|2|
2021-08-01|0001|C.11.a.3|2|
2021-08-01|0001|C.11.a.4|29|
2021-08-01|0001|C.11.a.5|41|
2021-08-01|0001|C.11.a.6|41|
2021-08-01|0001|C.11.a.7|36|
2021-08-01|0001|C.11.a.8|8|
2021-08-01|0001|C.11.a.9|30|
2021-08-01|0001|C.11.b|404|
2021-08-01|0001|C.11.b.1|48|
2021-08-01|0001|C.11.b.2|356|
2021-08-01|0001|C.3.a|N|
2021-08-01|0001|C.3.b|Y|
2021-08-01|0001|C.3.c|31|31
2021-08-01|0001|C.3.d|31|31
2021-08-01|0001|C.9.a|8027|8060
2021-08-01|0001|C.9.c||6044
2021-08-01|0003|B.5.a|8231|8460
2021-08-01|0003|B.5.d|4209|4529
2021-08-01|0003|C.11.a|12|
2021-08-01|0003|C.11.a.1|1|
2021-08-01|0003|C.11.a.11|1|
2021-08-01|0003|C.11.a.2|2|
2021-08-01|0003|C.11.a.5|4|
2021-08-01|0003|C.11.a.9|4|
2021-08-01|0003|C.11.b|125|
2021-08-01|0003|C.11.b.1|43|
2021-08-01|0003|C.11.b.2|82|
2021-08-01|0003|C.3.a|Y|
2021-08-01|0003|C.3.b|Y|
2021-08-01|0003|C.3.c|31|31
2021-08-01|0003|C.3.d|31|31
2021-08-01|0003|C.9.a|12988|12989
2021-08-01|0003|C.9.c|11555|11557
2021-08-01|0004|B.5.a|4402|4691
2021-08-01|0004|B.5.d|4098|4698
2021-08-01|0004|C.11.a|14|
2021-08-01|0004|C.11.a.10|1|
2021-08-01|0004|C.11.a.11|11|
2021-08-01|0004|C.11.a.5|1|
2021-08-01|0004|C.11.a.8|1|
2021-08-01|0004|C.11.b|16|
2021-08-01|0004|C.11.b.1|11|
2021-08-01|0004|C.11.b.2|5|
2021-08-01|0004|C.3.a|Y|
2021-08-01|0004|C.3.b|Y|
2021-08-01|0004|C.3.c|31|31
2021-08-01|0004|C.3.d|31|31
2021-08-01|0004|C.9.a|9366|9389
2021-08-01|0004|C.9.c|5933|5937
2021-08-01|0005|C.11.a|80|
2021-08-01|0005|C.11.a.1|47|
2021-08-01|0005|C.11.a.2|33|
2021-08-01|0005|C.11.b|1100|
2021-08-01|0005|C.11.b.1|132|
2021-08-01|0005|C.11.b.2|968|
2021-08-01|0005|C.12.a|102|102
2021-08-01|0005|C.12.a.1|102|102
2021-08-01|0005|C.12.b|1241|1241
2021-08-01|0005|C.3.a|N|
2021-08-01|0005|C.3.b|Y|
2021-08-01|0005|C.3.c|31|31
2021-08-01|0005|C.3.d|31|31
2021-08-01|0006|C.11.a|93|
2021-08-01|0006|C.11.a.1|25|
2021-08-01|0006|C.11.a.2|67|
2021-08-01|0006|C.11.a.3|1|
2021-08-01|0006|C.11.b|1006|
2021-08-01|0006|C.11.b.1|669|
2021-08-01|0006|C.11.b.2|337|
2021-08-01|0006|C.12.a|179|199
2021-08-01|0006|C.12.a.1|179|193
2021-08-01|0006|C.12.a.2||6
2021-08-01|0006|C.12.b|2818|2819
2021-08-01|0006|C.3.a|N|
2021-08-01|0006|C.3.b|Y|
2021-08-01|0006|C.3.c|31|31
2021-08-01|0006|C.3.d|31|31
2021-08-01|0008|C.11.a|15|
2021-08-01|0008|C.11.a.4|1|
2021-08-01|0008|C.11.a.7|10|
2021-08-01|0008|C.11.a.8|4|
2021-08-01|0008|C.11.b|35|
2021-08-01|0008|C.11.b.1|20|
2021-08-01|0008|C.11.b.2|15|
2021-08-01|0008|C.3.a|N|
2021-08-01|0008|C.3.b|Y|
2021-08-01|0008|C.3.c|31|31
2021-08-01|0008|C.3.d|31|31
2021-08-01|0009|C.11.a|13|
2021-08-01|0009|C.11.a.7|11|
2021-08-01|0009|C.11.a.8|2|
2021-08-01|0009|C.11.b|7|
2021-08-01|0009|C.11.b.1|1|
2021-08-01|0009|C.11.b.2|6|
2021-08-01|0009|C.3.a|N|
2021-08-01|0009|C.3.b|Y|
2021-08-01|0009|C.3.c|31|31
2021-08-01|0009|C.3.d|31|31
2021-08-01|0010|C.11.a|98|
2021-08-01|0010|C.11.a.1|20|
2021-08-01|0010|C.11.a.2|1|
2021-08-01|0010|C.11.a.4|1|
2021-08-01|0010|C.11.a.5|1|
2021-08-01|0010|C.11.a.6|3|
2021-08-01|0010|C.11.a.7|42|
