DataMonth|DMISID|QuestionNum|Value1|Value2
2022-05-01|0001|B.1.a|3.3.9 CF 8.2.1|
2022-05-01|0001|B.1.b|4.630 CP 452|
2022-05-01|0001|B.1.c|213.03.0029|
2022-05-01|0001|B.4.e||
2022-05-01|0001|B.5.a|3251|3338
2022-05-01|0001|B.5.b||
2022-05-01|0001|B.5.d|3388|3665
2022-05-01|0001|B.8.b||
2022-05-01|0001|C.1.e|509|597
2022-05-01|0001|C.1.f|527|594
2022-05-01|0001|C.11.a|48|
2022-05-01|0001|C.11.a.1|11|
2022-05-01|0001|C.11.a.10||
2022-05-01|0001|C.11.a.11||
2022-05-01|0001|C.11.a.12||
2022-05-01|0001|C.11.a.2|4|
2022-05-01|0001|C.11.a.3|1|
2022-05-01|0001|C.11.a.4|8|
2022-05-01|0001|C.11.a.5|5|
2022-05-01|0001|C.11.a.6|6|
2022-05-01|0001|C.11.a.7|4|
2022-05-01|0001|C.11.a.8|9|
2022-05-01|0001|C.11.a.9||
2022-05-01|0001|C.11.b|532|
2022-05-01|0001|C.11.b.1|335|
2022-05-01|0001|C.11.b.2|197|
2022-05-01|0001|C.12.a||
2022-05-01|0001|C.12.a.1||
2022-05-01|0001|C.12.a.10||
2022-05-01|0001|C.12.a.11||
2022-05-01|0001|C.12.a.12||
2022-05-01|0001|C.12.a.2||
2022-05-01|0001|C.12.a.3||
2022-05-01|0001|C.12.a.4||
2022-05-01|0001|C.12.a.5||
2022-05-01|0001|C.12.a.6||
2022-05-01|0001|C.12.a.7||
2022-05-01|0001|C.12.a.8||
2022-05-01|0001|C.12.a.9||
2022-05-01|0001|C.12.b||
2022-05-01|0001|C.3.a|N|
2022-05-01|0001|C.3.b|Y|
2022-05-01|0001|C.3.c|31|31
2022-05-01|0001|C.3.d|31|31
2022-05-01|0001|C.9.a|6995|7004
2022-05-01|0001|C.9.b||
2022-05-01|0001|C.9.c||4938
2022-05-01|0001|C.9.d||
2022-05-01|0001|E.1.a.1||
2022-05-01|0001|E.1.a.2||
2022-05-01|0001|E.1.a.3|1|
2022-05-01|0001|E.1.a.4||
2022-05-01|0001|E.1.a.5||
2022-05-01|0001|E.1.a.6||
2022-05-01|0001|E.1.a.7||
2022-05-01|0001|E.1.a.8|1|
2022-05-01|0001|E.1.b.1||
2022-05-01|0001|E.1.b.2||
2022-05-01|0001|E.1.b.3||
2022-05-01|0001|E.1.b.4||
2022-05-01|0001|E.1.b.5||
2022-05-01|0001|E.1.b.6||
2022-05-01|0001|E.1.b.7||
2022-05-01|0001|E.1.b.8||
2022-05-01|0003|B.1.a|3.3.9 CF 8.2.1|
2022-05-01|0003|B.1.b|4.630 CP 452|
2022-05-01|0003|B.1.c|213.03.0029|
2022-05-01|0003|B.4.e|24|
2022-05-01|0003|B.5.a|7021|7371
2022-05-01|0003|B.5.b||
2022-05-01|0003|B.5.d|3517|3803
2022-05-01|0003|B.8.b||
2022-05-01|0003|C.1.e|973|998
2022-05-01|0003|C.1.f|982|998
2022-05-01|0003|C.11.a|29|
2022-05-01|0003|C.11.a.1||
2022-05-01|0003|C.11.a.10||
2022-05-01|0003|C.11.a.11||
2022-05-01|0003|C.11.a.12||
2022-05-01|0003|C.11.a.2|2|
2022-05-01|0003|C.11.a.3|2|
2022-05-01|0003|C.11.a.4|4|
2022-05-01|0003|C.11.a.5|11|
2022-05-01|0003|C.11.a.6|1|
2022-05-01|0003|C.11.a.7|5|
2022-05-01|0003|C.11.a.8|4|
2022-05-01|0003|C.11.a.9||
2022-05-01|0003|C.11.b|92|
2022-05-01|0003|C.11.b.1|80|
2022-05-01|0003|C.11.b.2|12|
2022-05-01|0003|C.12.a||
2022-05-01|0003|C.12.a.1||
2022-05-01|0003|C.12.a.10||
2022-05-01|0003|C.12.a.11||
2022-05-01|0003|C.12.a.12||
2022-05-01|0003|C.12.a.2||
2022-05-01|0003|C.12.a.3||
2022-05-01|0003|C.12.a.4||
2022-05-01|0003|C.12.a.5||
2022-05-01|0003|C.12.a.6||
2022-05-01|0003|C.12.a.7||
2022-05-01|0003|C.12.a.8||
2022-05-01|0003|C.12.a.9||
2022-05-01|0003|C.12.b||
2022-05-01|0003|C.3.a|N|
2022-05-01|0003|C.3.b|Y|
2022-05-01|0003|C.3.c|31|31
2022-05-01|0003|C.3.d|31|31
2022-05-01|0003|C.9.a|11170|11174
2022-05-01|0003|C.9.b||
2022-05-01|0003|C.9.c||10149
2022-05-01|0003|C.9.d||
2022-05-01|0003|E.1.a.1||
2022-05-01|0003|E.1.a.2||
2022-05-01|0003|E.1.a.3||
2022-05-01|0003|E.1.a.4||
2022-05-01|0003|E.1.a.5||
2022-05-01|0003|E.1.a.6||
2022-05-01|0003|E.1.a.7||
2022-05-01|0003|E.1.a.8|1|
2022-05-01|0003|E.1.b.1||
2022-05-01|0003|E.1.b.2|1|
2022-05-01|0003|E.1.b.3||
2022-05-01|0003|E.1.b.4||
2022-05-01|0003|E.1.b.5||
2022-05-01|0003|E.1.b.6||
2022-05-01|0003|E.1.b.7||
2022-05-01|0003|E.1.b.8|1|
2022-05-01|0004|B.1.a|3.3.9 CF 8.2.1|
2022-05-01|0004|B.1.b|4.630 CP 452|
2022-05-01|0004|B.1.c|213.03.0029|
2022-05-01|0004|B.4.e||
2022-05-01|0004|B.5.a|4145|4357
2022-05-01|0004|B.5.b||
2022-05-01|0004|B.5.d|3825|4243
2022-05-01|0004|B.8.b||
2022-05-01|0004|C.1.e|848|849
2022-05-01|0004|C.1.f|849|849
2022-05-01|0004|C.11.a|11|
2022-05-01|0004|C.11.a.1||
2022-05-01|0004|C.11.a.10||
2022-05-01|0004|C.11.a.11||
2022-05-01|0004|C.11.a.12||
2022-05-01|0004|C.11.a.2||
2022-05-01|0004|C.11.a.3||
2022-05-01|0004|C.11.a.4||
2022-05-01|0004|C.11.a.5||
2022-05-01|0004|C.11.a.6|1|
2022-05-01|0004|C.11.a.7||
2022-05-01|0004|C.11.a.8|10|
2022-05-01|0004|C.11.a.9||
2022-05-01|0004|C.11.b|8|
2022-05-01|0004|C.11.b.1|5|
2022-05-01|0004|C.11.b.2|3|
2022-05-01|0004|C.12.a||
2022-05-01|0004|C.12.a.1||
2022-05-01|0004|C.12.a.10||
2022-05-01|0004|C.12.a.11||
2022-05-01|0004|C.12.a.12||
2022-05-01|0004|C.12.a.2||
2022-05-01|0004|C.12.a.3||
2022-05-01|0004|C.12.a.4||
2022-05-01|0004|C.12.a.5||
2022-05-01|0004|C.12.a.6||
2022-05-01|0004|C.12.a.7||
2022-05-01|0004|C.12.a.8||
2022-05-01|0004|C.12.a.9||
2022-05-01|0004|C.12.b||
2022-05-01|0004|C.3.a|N|
2022-05-01|0004|C.3.b|Y|
2022-05-01|0004|C.3.c|31|31
2022-05-01|0004|C.3.d|31|31
2022-05-01|0004|C.9.a|8595|8605
2022-05-01|0004|C.9.b||
2022-05-01|0004|C.9.c||4978
2022-05-01|0004|C.9.d||
2022-05-01|0004|E.1.a.1||
2022-05-01|0004|E.1.a.2||
2022-05-01|0004|E.1.a.3||
2022-05-01|0004|E.1.a.4||
2022-05-01|0004|E.1.a.5||
2022-05-01|0004|E.1.a.6||
2022-05-01|0004|E.1.a.7||
2022-05-01|0004|E.1.a.8||
2022-05-01|0004|E.1.b.1||
2022-05-01|0004|E.1.b.2|1|
2022-05-01|0004|E.1.b.3||
2022-05-01|0004|E.1.b.4||
2022-05-01|0004|E.1.b.5||
2022-05-01|0004|E.1.b.6||
2022-05-01|0004|E.1.b.7||
2022-05-01|0004|E.1.b.8||
2022-05-01|0005|B.1.a||
2022-05-01|0005|B.1.b||
2022-05-01|0005|B.1.c||
2022-05-01|0005|B.4.e||
2022-05-01|0005|B.5.a||
2022-05-01|0005|B.5.b||
2022-05-01|0005|B.5.d||
2022-05-01|0005|B.8.b|175|
2022-05-01|0005|C.1.e|2295|2743
2022-05-01|0005|C.1.f|2376|2736
2022-05-01|0005|C.11.a||
2022-05-01|0005|C.11.a.1||
2022-05-01|0005|C.11.a.10||
2022-05-01|0005|C.11.a.11||
2022-05-01|0005|C.11.a.12||
2022-05-01|0005|C.11.a.2||
2022-05-01|0005|C.11.a.3||
2022-05-01|0005|C.11.a.4||
2022-05-01|0005|C.11.a.5||
2022-05-01|0005|C.11.a.6||
2022-05-01|0005|C.11.a.7||
2022-05-01|0005|C.11.a.8||
2022-05-01|0005|C.11.a.9||
2022-05-01|0005|C.11.b||
2022-05-01|0005|C.11.b.1||
2022-05-01|0005|C.11.b.2||
2022-05-01|0005|C.12.a||
2022-05-01|0005|C.12.a.1||
2022-05-01|0005|C.12.a.10||
2022-05-01|0005|C.12.a.11||
2022-05-01|0005|C.12.a.12||
2022-05-01|0005|C.12.a.2||
2022-05-01|0005|C.12.a.3||
2022-05-01|0005|C.12.a.4||
2022-05-01|0005|C.12.a.5||
2022-05-01|0005|C.12.a.6||
2022-05-01|0005|C.12.a.7||
2022-05-01|0005|C.12.a.8||
2022-05-01|0005|C.12.a.9||
2022-05-01|0005|C.12.b||
2022-05-01|0005|C.3.a|N|
2022-05-01|0005|C.3.b||
2022-05-01|0005|C.3.c||
2022-05-01|0005|C.3.d||
2022-05-01|0005|C.9.a||
2022-05-01|0005|C.9.b||
2022-05-01|0005|C.9.c||
2022-05-01|0005|C.9.d||
2022-05-01|0005|E.1.a.1||
2022-05-01|0005|E.1.a.2||
2022-05-01|0005|E.1.a.3||
2022-05-01|0005|E.1.a.4||
2022-05-01|0005|E.1.a.5||
2022-05-01|0005|E.1.a.6||
2022-05-01|0005|E.1.a.7||
2022-05-01|0005|E.1.a.8|19|
2022-05-01|0005|E.1.b.1|1|
2022-05-01|0005|E.1.b.2||
2022-05-01|0005|E.1.b.3||
2022-05-01|0005|E.1.b.4||
2022-05-01|0005|E.1.b.5||
2022-05-01|0005|E.1.b.6|1|
2022-05-01|0005|E.1.b.7||
2022-05-01|0005|E.1.b.8|52|
2022-05-01|0006|B.1.a||
2022-05-01|0006|B.1.b||
2022-05-01|0006|B.1.c||
2022-05-01|0006|B.4.e||
2022-05-01|0006|B.5.a||
2022-05-01|0006|B.5.b||
2022-05-01|0006|B.5.d||
2022-05-01|0006|B.8.b|5389|
2022-05-01|0006|C.1.e|3608|3670
2022-05-01|0006|C.1.f|3666|3669
2022-05-01|0006|C.11.a||
2022-05-01|0006|C.11.a.1||
2022-05-01|0006|C.11.a.10||
2022-05-01|0006|C.11.a.11||
2022-05-01|0006|C.11.a.12||
2022-05-01|0006|C.11.a.2||
2022-05-01|0006|C.11.a.3||
2022-05-01|0006|C.11.a.4||
2022-05-01|0006|C.11.a.5||
2022-05-01|0006|C.11.a.6||
2022-05-01|0006|C.11.a.7||
2022-05-01|0006|C.11.a.8||
2022-05-01|0006|C.11.a.9||
2022-05-01|0006|C.11.b||
2022-05-01|0006|C.11.b.1||
2022-05-01|0006|C.11.b.2||
2022-05-01|0006|C.12.a||
2022-05-01|0006|C.12.a.1||
2022-05-01|0006|C.12.a.10||
2022-05-01|0006|C.12.a.11||
2022-05-01|0006|C.12.a.12||
2022-05-01|0006|C.12.a.2||
2022-05-01|0006|C.12.a.3||
2022-05-01|0006|C.12.a.4||
2022-05-01|0006|C.12.a.5||
2022-05-01|0006|C.12.a.6||
2022-05-01|0006|C.12.a.7||
2022-05-01|0006|C.12.a.8||
2022-05-01|0006|C.12.a.9||
2022-05-01|0006|C.12.b||
2022-05-01|0006|C.3.a|N|
2022-05-01|0006|C.3.b||
2022-05-01|0006|C.3.c||
2022-05-01|0006|C.3.d||
2022-05-01|0006|C.9.a||
2022-05-01|0006|C.9.b||
2022-05-01|0006|C.9.c||
2022-05-01|0006|C.9.d||
2022-05-01|0006|E.1.a.1||
2022-05-01|0006|E.1.a.2||
2022-05-01|0006|E.1.a.3||
2022-05-01|0006|E.1.a.4||
2022-05-01|0006|E.1.a.5||
2022-05-01|0006|E.1.a.6||
2022-05-01|0006|E.1.a.7||
2022-05-01|0006|E.1.a.8|24|
2022-05-01|0006|E.1.b.1||
2022-05-01|0006|E.1.b.2||
2022-05-01|0006|E.1.b.3||
2022-05-01|0006|E.1.b.4||
2022-05-01|0006|E.1.b.5||
2022-05-01|0006|E.1.b.6||
2022-05-01|0006|E.1.b.7||
2022-05-01|0006|E.1.b.8|99|
2022-05-01|0008|B.1.a||
2022-05-01|0008|B.1.b||
2022-05-01|0008|B.1.c||
2022-05-01|0008|B.4.e||
2022-05-01|0008|B.5.a||
2022-05-01|0008|B.5.b||
2022-05-01|0008|B.5.d||
2022-05-01|0008|B.8.b|63|
2022-05-01|0008|C.1.e|882|1013
2022-05-01|0008|C.1.f|935|1009
2022-05-01|0008|C.11.a||
2022-05-01|0008|C.11.a.1||
2022-05-01|0008|C.11.a.10||
2022-05-01|0008|C.11.a.11||
2022-05-01|0008|C.11.a.12||
2022-05-01|0008|C.11.a.2||
2022-05-01|0008|C.11.a.3||
2022-05-01|0008|C.11.a.4||
2022-05-01|0008|C.11.a.5||
2022-05-01|0008|C.11.a.6||
2022-05-01|0008|C.11.a.7||
2022-05-01|0008|C.11.a.8||
2022-05-01|0008|C.11.a.9||
2022-05-01|0008|C.11.b||
2022-05-01|0008|C.11.b.1||
2022-05-01|0008|C.11.b.2||
2022-05-01|0008|C.12.a||
2022-05-01|0008|C.12.a.1||
2022-05-01|0008|C.12.a.10||
2022-05-01|0008|C.12.a.11||
2022-05-01|0008|C.12.a.12||
2022-05-01|0008|C.12.a.2||
2022-05-01|0008|C.12.a.3||
2022-05-01|0008|C.12.a.4||
2022-05-01|0008|C.12.a.5||
2022-05-01|0008|C.12.a.6||
2022-05-01|0008|C.12.a.7||
2022-05-01|0008|C.12.a.8||
2022-05-01|0008|C.12.a.9||
2022-05-01|0008|C.12.b||
2022-05-01|0008|C.3.a|N|
2022-05-01|0008|C.3.b||
2022-05-01|0008|C.3.c||
2022-05-01|0008|C.3.d||
2022-05-01|0008|C.9.a||
2022-05-01|0008|C.9.b||
2022-05-01|0008|C.9.c||
2022-05-01|0008|C.9.d||
2022-05-01|0008|E.1.a.1||
2022-05-01|0008|E.1.a.2||
2022-05-01|0008|E.1.a.3||
2022-05-01|0008|E.1.a.4||
2022-05-01|0008|E.1.a.5||
2022-05-01|0008|E.1.a.6||
2022-05-01|0008|E.1.a.7||
2022-05-01|0008|E.1.a.8|2|
2022-05-01|0008|E.1.b.1||
