DataMonth|DMISID|QuestionNum|Value1|Value2
2021-09-01|0001|B.5.a|4040|4138
2021-09-01|0001|B.5.d|3807|4207
2021-09-01|0001|C.11.a|292|
2021-09-01|0001|C.11.a.1|5|
2021-09-01|0001|C.11.a.10|30|
2021-09-01|0001|C.11.a.11|32|
2021-09-01|0001|C.11.a.12|43|
2021-09-01|0001|C.11.a.2|2|
2021-09-01|0001|C.11.a.3|2|
2021-09-01|0001|C.11.a.4|29|
2021-09-01|0001|C.11.a.5|41|
2021-09-01|0001|C.11.a.6|41|
2021-09-01|0001|C.11.a.7|36|
2021-09-01|0001|C.11.a.8|8|
2021-09-01|0001|C.11.a.9|23|
2021-09-01|0001|C.11.b|403|
2021-09-01|0001|C.11.b.1|48|
2021-09-01|0001|C.11.b.2|355|
2021-09-01|0001|C.3.a|N|
2021-09-01|0001|C.3.b|Y|
2021-09-01|0001|C.3.c|30|30
2021-09-01|0001|C.3.d|30|30
2021-09-01|0001|C.9.a|8302|8347
2021-09-01|0001|C.9.c||6133
2021-09-01|0003|B.5.a|8524|8800
2021-09-01|0003|B.5.d|3938|4238
2021-09-01|0003|C.11.a|18|
2021-09-01|0003|C.11.a.1|1|
2021-09-01|0003|C.11.a.11|1|
2021-09-01|0003|C.11.a.12|6|
2021-09-01|0003|C.11.a.2|2|
2021-09-01|0003|C.11.a.5|4|
2021-09-01|0003|C.11.a.9|4|
2021-09-01|0003|C.11.b|125|
2021-09-01|0003|C.11.b.1|43|
2021-09-01|0003|C.11.b.2|82|
2021-09-01|0003|C.3.a|Y|
2021-09-01|0003|C.3.b|Y|
2021-09-01|0003|C.3.c|30|30
2021-09-01|0003|C.3.d|30|30
2021-09-01|0003|C.9.a|13033|13039
2021-09-01|0003|C.9.c|11892|11893
2021-09-01|0047|B.5.a|34860|37456
2021-09-01|0047|B.5.b|200|201
2021-09-01|0047|B.5.d|13924|16090
2021-09-01|0047|C.11.a|2653|
2021-09-01|0047|C.11.a.1|29|
2021-09-01|0047|C.11.a.10|196|
2021-09-01|0047|C.11.a.11|221|
2021-09-01|0047|C.11.a.12|290|
2021-09-01|0047|C.11.a.2|1144|
2021-09-01|0047|C.11.a.3|43|
2021-09-01|0047|C.11.a.4|96|
2021-09-01|0047|C.11.a.5|132|
2021-09-01|0047|C.11.a.6|108|
2021-09-01|0047|C.11.a.7|135|
2021-09-01|0047|C.11.a.8|92|
2021-09-01|0047|C.11.a.9|167|
2021-09-01|0047|C.11.b|2465|
2021-09-01|0047|C.11.b.1|1372|
2021-09-01|0047|C.11.b.2|1093|
2021-09-01|0047|C.12.a|3636|3636
2021-09-01|0047|C.12.a.1|309|309
2021-09-01|0047|C.12.a.10|315|315
2021-09-01|0047|C.12.a.11|335|335
2021-09-01|0047|C.12.a.12|247|247
2021-09-01|0047|C.12.a.2|296|296
2021-09-01|0047|C.12.a.3|331|331
2021-09-01|0047|C.12.a.4|275|275
2021-09-01|0047|C.12.a.5|278|278
2021-09-01|0047|C.12.a.6|276|276
2021-09-01|0047|C.12.a.7|332|332
2021-09-01|0047|C.12.a.8|329|329
2021-09-01|0047|C.12.a.9|313|313
2021-09-01|0047|C.12.b|3809|3809
2021-09-01|0047|C.3.a|Y|
2021-09-01|0047|C.3.b|Y|
2021-09-01|0047|C.3.c|30|30
2021-09-01|0047|C.3.d|30|30
2021-09-01|0047|C.9.a|53204|53589
2021-09-01|0047|C.9.b|247|247
2021-09-01|0047|C.9.c|52490|52436
2021-09-01|0047|C.9.d|1540|1716
2021-09-01|0048|B.5.a|59029|60960
2021-09-01|0048|B.5.b|293|293
2021-09-01|0048|B.5.d|13335|14917
2021-09-01|0048|C.11.a|366|
2021-09-01|0048|C.11.a.1|27|
2021-09-01|0048|C.11.a.10|54|
2021-09-01|0048|C.11.a.11|44|
2021-09-01|0048|C.11.a.12|66|
2021-09-01|0048|C.11.a.2|16|
2021-09-01|0048|C.11.a.3|10|
2021-09-01|0048|C.11.a.4|26|
2021-09-01|0048|C.11.a.5|24|
2021-09-01|0048|C.11.a.6|31|
2021-09-01|0048|C.11.a.7|24|
2021-09-01|0048|C.11.a.8|28|
2021-09-01|0048|C.11.a.9|16|
2021-09-01|0048|C.11.b|2504|
2021-09-01|0048|C.11.b.1|2375|
2021-09-01|0048|C.11.b.2|129|
